code,Side,Time,Preys_web,Preys_eating,Prey_remains,Preys_ID,silk_d,day,opisto_w,web_area,number_silk,Web_height,site_exp,check,colour,luxes,total_preys,t_luxes,colourSide,presence_decorations,b_luxes
B123,dorsal,9.3,0,0,0,NA,3,3,10.2,656.5928646,3,190,ventral,F,white,0.45,0,low,white_dorsal,yes,0
B123,ventral,9.3,0,0,0,NA,3,3,10.2,656.5928646,3,190,ventral,F,white,170,0,high,white_ventral,yes,1
B22,dorsal,9.3,0,0,0,NA,0,3,7,351.8583772,0,140,ventral,M,white,0.2,0,low,white_dorsal,no,0
B22,ventral,9.3,0,0,0,NA,0,3,7,351.8583772,0,140,ventral,M,white,0.99,0,low,white_ventral,no,0
B35,dorsal,9.3,0,0,0,NA,1,3,10.25,222.801751,1,66,ventral,E,white,0.34,0,low,white_dorsal,yes,0
B35,ventral,9.3,0,0,0,NA,1,3,10.25,222.801751,1,66,ventral,E,white,94,0,high,white_ventral,yes,1
B36,dorsal,9.3,0,0,0,NA,1,3,NA,580.0165437,1,180,ventral,E,white,0.18,0,low,white_dorsal,yes,0
B36,ventral,9.3,0,0,0,NA,1,3,NA,580.0165437,1,180,ventral,E,white,175,0,high,white_ventral,yes,1
B4,dorsal,9.3,0,0,0,NA,0,3,10.7,565.4866776,0,220,dorsal,M,white,107,0,high,white_dorsal,no,1
B4,ventral,9.3,0,0,0,NA,0,3,10.7,565.4866776,0,220,dorsal,M,white,0.48,0,low,white_ventral,no,0
B46,dorsal,9.3,0,0,0,NA,0,3,10.7,513.5090272,0,95,dorsal,E,white,0.43,0,low,white_dorsal,no,0
B46,ventral,9.3,0,0,0,NA,0,3,10.7,513.5090272,0,95,dorsal,E,white,0.28,0,low,white_ventral,no,0
B48,dorsal,9.3,0,0,0,NA,0,3,11.56,431.9689899,0,110,ventral,E,white,0.09,0,low,white_dorsal,no,0
B48,ventral,9.3,0,0,0,NA,0,3,11.56,431.9689899,0,110,ventral,E,white,118,0,high,white_ventral,no,1
B49.1,dorsal,9.3,0,0,0,NA,0,3,10.1,355.3926689,0,140,ventral,E,white,0.09,0,low,white_dorsal,no,0
B49.1,ventral,9.3,0,0,0,NA,0,3,10.1,355.3926689,0,140,ventral,E,white,0.47,0,low,white_ventral,no,0
B50,dorsal,9.3,0,0,0,NA,3,3,9.6,491.6592503,3,110,ventral,E,white,0.08,0,low,white_dorsal,yes,0
B50,ventral,9.3,0,0,0,NA,3,3,9.6,491.6592503,3,110,ventral,E,white,0.67,0,low,white_ventral,yes,0
B54,dorsal,9.3,0,0,0,NA,0,3,9,540.7466355,0,189,ventral,E,white,0.22,0,low,white_dorsal,no,0
B54,ventral,9.3,0,0,0,NA,0,3,9,540.7466355,0,189,ventral,E,white,0.33,0,low,white_ventral,no,0
N1,dorsal,9.3,0,0,0,NA,3,3,6.7,131.9468915,3,110,ventral,M,black,0.37,0,low,black_dorsal,yes,0
N1,ventral,9.3,0,0,0,NA,3,3,6.7,131.9468915,3,110,ventral,M,black,0.55,0,low,black_ventral,yes,0
N12,dorsal,9.3,0,0,0,NA,4,3,11.7,428.8273972,4,140,ventral,F,black,0.08,0,low,black_dorsal,yes,0
N12,ventral,9.3,0,0,0,NA,4,3,11.7,428.8273972,4,140,ventral,F,black,0.85,0,low,black_ventral,yes,0
N2,dorsal,9.3,0,0,0,NA,0,3,10,614.1813638,0,140,ventral,M,black,0.57,0,low,black_dorsal,no,0
N2,ventral,9.3,0,0,0,NA,0,3,10,614.1813638,0,140,ventral,M,black,0.68,0,low,black_ventral,no,0
N20,dorsal,9.3,0,0,0,NA,0,3,7.8,424.1150082,0,210,dorsal,M,black,1.44,0,low,black_dorsal,no,0
N20,ventral,9.3,0,0,0,NA,0,3,7.8,424.1150082,0,210,dorsal,M,black,0.6,0,low,black_ventral,no,0
N20.1,dorsal,9.3,0,0,0,NA,0,3,8.8,480.663676,0,130,ventral,F,black,0.28,0,low,black_dorsal,no,0
N20.1,ventral,9.3,0,0,0,NA,0,3,8.8,480.663676,0,130,ventral,F,black,121,0,high,black_ventral,no,1
N4.A1,dorsal,9.3,0,0,0,NA,0,3,NA,471.238898,0,160,ventral,M,yellow,0.23,0,low,yellow_dorsal,no,0
N4.A1,ventral,9.3,0,0,0,NA,0,3,NA,471.238898,0,160,ventral,M,yellow,106,0,high,yellow_ventral,no,1
N5,dorsal,9.3,0,0,0,NA,0,3,6.4,164.9336143,0,140,dorsal,M,black,0.78,0,low,black_dorsal,no,0
N5,ventral,9.3,0,0,0,NA,0,3,6.4,164.9336143,0,140,dorsal,M,black,0.14,0,low,black_ventral,no,0
N7,dorsal,9.3,0,0,0,NA,0,3,11.9,387.9866927,0,150,dorsal,F,black,0.87,0,low,black_dorsal,no,0
N7,ventral,9.3,0,0,0,NA,0,3,11.9,387.9866927,0,150,dorsal,F,black,0.17,0,low,black_ventral,no,0
N9.1,dorsal,9.3,0,0,0,NA,0,3,NA,188.4955592,0,140,dorsal,M,black,0.97,0,low,black_dorsal,no,0
N9.1,ventral,9.3,0,0,0,NA,0,3,NA,188.4955592,0,140,dorsal,M,black,0.16,0,low,black_ventral,no,0
P23,dorsal,9.3,0,0,0,NA,0,3,NA,659.7344573,0,210,ventral,M,white,0.5,0,low,white_dorsal,no,0
P23,ventral,9.3,0,0,0,NA,0,3,NA,659.7344573,0,210,ventral,M,white,0.52,0,low,white_ventral,no,0
N7,dorsal,10.3,1,0,0,diptera,0,3,11.9,387.9866927,0,150,dorsal,F,black,0.87,1,low,black_dorsal,no,0
N7,ventral,10.3,3,0,0,diptera,0,3,11.9,387.9866927,0,150,dorsal,F,black,0.17,3,low,black_ventral,no,0
B22,ventral,10.3,1,0,0,diptera,0,3,7,351.8583772,0,140,ventral,M,white,0.99,1,low,white_ventral,no,0
N2,ventral,10.3,2,0,0,diptera,0,3,10,614.1813638,0,140,ventral,M,black,0.68,2,low,black_ventral,no,0
A7,ventral,10.3,1,0,0,diptera,0,3,11.24,215.1990968,0,150,ventral,M,yellow,174,1,high,yellow_ventral,no,1
A20,ventral,10.3,2,1,0,hymenoptera,0,3,8.2,367.5663405,0,130,dorsal,M,yellow,0.74,3,low,yellow_ventral,no,0
B36,dorsal,10.3,1,0,NA,diptera,1,3,NA,580.0165437,1,180,ventral,E,white,0.18,1,low,white_dorsal,yes,0
B38,dorsal,10.3,1,0,NA,diptera,0,3,10,561.5911028,0,170,ventral,E,white,0.14,1,low,white_dorsal,no,0
B46,ventral,10.3,1,0,NA,diptera,0,3,10.7,513.5090272,0,95,dorsal,E,white,0.28,1,low,white_ventral,no,0
A14,ventral,10.3,1,0,NA,NA,0,3,9.4,398.982267,0,110,ventral,F,yellow,0.5,1,low,yellow_ventral,no,0
B22,dorsal,10.3,0,0,NA,NA,0,3,7,351.8583772,0,140,ventral,M,white,0.2,0,low,white_dorsal,no,0
